Number of good map points:17967
Image index, timestamp, feature index, x, y
current frame timestamp:20170927.141260
683 20170927.141260 2793 355.332153 367.276093
-0.121639 0.970365 8.712139 0 0 0 
Num of good obeservatiosn:22
571 20170927.141051 1697 400.896027 444.096039
567 20170927.141046 2009 404.352051 444.096039
563 20170927.141041 1539 410.400024 442.080017
551 20170927.141028 1452 424.800018 444.960022
559 20170927.141037 1532 416.160004 443.520020
575 20170927.141055 1746 397.440033 445.824036
604 20170927.141129 1791 354.240021 437.184052
600 20170927.141124 2048 358.732849 435.456055
579 20170927.141060 1488 391.680023 443.520020
555 20170927.141032 1454 420.480011 444.960022
596 20170927.141119 1785 366.336029 437.184052
619 20170927.141146 1705 324.864044 437.184052
614 20170927.141140 1751 336.960022 437.184052
609 20170927.141134 1752 347.328033 437.184052
638 20170927.141208 2808 274.710571 429.981781
633 20170927.141202 2593 293.621796 432.967743
665 20170927.141239 2328 182.476822 425.088074
671 20170927.141246 2801 149.299225 421.023834
648 20170927.141219 2816 244.850739 429.981781
653 20170927.141225 2592 231.413788 430.479431
677 20170927.141253 2799 125.411354 421.023834
683 20170927.141260 2985 85.996361 412.065887
0.485638 0.943038 8.866526 0 0 0 
Num of good obeservatiosn:23
575 20170927.141055 1499 770.400024 411.840027
600 20170927.141124 1816 782.784058 402.624023
579 20170927.141060 1480 770.400024 406.080017
619 20170927.141146 2089 792.115295 402.278442
633 20170927.141202 2551 798.750854 400.619568
643 20170927.141213 2544 801.239136 393.154602
671 20170927.141246 2825 795.466309 372.650879
648 20170927.141219 2360 801.239136 395.642944
653 20170927.141225 2135 802.483337 396.057648
659 20170927.141232 2758 800.243835 382.206024
731 20170927.141355 2621 770.384033 337.416260
738 20170927.141403 2973 752.468140 326.069519
746 20170927.141412 2834 738.135437 326.069519
703 20170927.141323 2469 791.285889 360.806458
696 20170927.141315 2571 786.309204 355.829803
677 20170927.141253 2688 797.257874 370.262085
689 20170927.141307 2723 791.285889 358.318146
776 20170927.141446 2910 673.638123 304.570435
717 20170927.141339 2798 776.355957 349.360199
710 20170927.141331 2791 779.341980 352.346191
754 20170927.141421 2923 720.219482 308.153625
683 20170927.141260 2697 791.285889 355.332153
762 20170927.141430 2969 705.886780 304.570435
0.453030 1.021660 8.738809 0 0 0 
Num of good obeservatiosn:23
571 20170927.141051 2143 761.011292 468.633667
575 20170927.141055 2402 763.914368 467.804230
583 20170927.141105 2393 766.402649 467.804230
604 20170927.141129 2471 778.844299 467.804230
600 20170927.141124 2431 773.867615 465.315918
587 20170927.141109 2406 768.890991 467.804230
579 20170927.141060 2432 763.914368 467.804230
596 20170927.141119 2395 773.867615 465.315918
619 20170927.141146 2673 788.299927 471.785553
614 20170927.141140 2455 786.309204 470.292542
609 20170927.141134 2478 783.820923 470.292542
592 20170927.141115 2415 773.867615 467.804230
638 20170927.141208 2939 795.466309 476.563141
633 20170927.141202 2681 797.257874 474.771545
629 20170927.141157 2644 794.271912 474.771545
643 20170927.141213 2834 799.049500 476.563141
665 20170927.141239 2884 799.049500 469.396790
671 20170927.141246 2856 799.049500 469.396790
648 20170927.141219 2856 799.049500 480.146332
653 20170927.141225 2859 799.049500 480.146332
659 20170927.141232 2864 799.049500 472.979980
677 20170927.141253 2871 799.049500 462.230438
683 20170927.141260 2877 795.466309 455.064056
0.429189 0.793153 8.248098 0 0 0 
Num of good obeservatiosn:19
604 20170927.141129 1376 869.760010 315.360016
600 20170927.141124 978 861.600037 316.800018
555 20170927.141032 992 799.200012 354.000000
619 20170927.141146 970 900.000061 301.200012
614 20170927.141140 967 891.600037 307.200012
609 20170927.141134 426 881.000000 311.000000
638 20170927.141208 1242 946.080017 273.600006
624 20170927.141152 1391 911.520020 295.200012
629 20170927.141157 966 922.800049 288.000000
643 20170927.141213 1374 961.920044 264.960022
665 20170927.141239 2671 1024.192749 206.032928
671 20170927.141246 2303 1049.241699 180.403229
648 20170927.141219 1746 974.592102 257.472015
653 20170927.141225 2563 985.374878 246.343719
659 20170927.141232 2426 1002.793091 223.948837
696 20170927.141315 2638 1179.463867 59.719692
677 20170927.141253 1841 1076.544067 152.064011
689 20170927.141307 2561 1134.674072 87.091209
683 20170927.141260 2299 1101.081787 114.048019
0.480682 1.053126 8.744141 0 0 0 
Num of good obeservatiosn:27
583 20170927.141105 1482 783.360046 486.720032
604 20170927.141129 1833 796.608093 489.024048
587 20170927.141109 1500 784.800049 488.160034
596 20170927.141119 1502 790.560059 486.720032
619 20170927.141146 1831 806.976074 495.936035
614 20170927.141140 1470 804.960022 493.920013
609 20170927.141134 1841 801.792053 492.480042
592 20170927.141115 588 790.000000 489.000000
643 20170927.141213 1885 820.800049 502.848053
665 20170927.141239 1114 825.600037 501.600006
671 20170927.141246 1520 825.120056 501.120026
648 20170927.141219 1112 822.000061 507.600006
653 20170927.141225 1520 823.680054 508.320007
659 20170927.141232 1533 822.240051 501.120026
731 20170927.141355 2744 818.159790 507.617371
738 20170927.141403 2468 808.704102 505.129028
746 20170927.141412 2692 797.257874 501.645416
703 20170927.141323 2246 825.292908 510.105682
696 20170927.141315 2237 825.292908 501.811279
677 20170927.141253 2223 825.292908 495.590485
689 20170927.141307 2241 823.219299 491.443268
776 20170927.141446 2458 736.542847 510.105682
717 20170927.141339 2535 821.145691 507.617340
710 20170927.141331 2262 823.219299 510.105682
683 20170927.141260 1918 824.256104 489.024048
762 20170927.141430 2537 771.379333 505.129028
819 20170927.141535 2878 573.309082 555.393127
0.460572 1.024500 8.760772 0 0 0 
Num of good obeservatiosn:26
571 20170927.141051 1141 763.200012 465.600006
575 20170927.141055 1139 765.600037 468.000031
583 20170927.141105 1136 769.200012 466.800018
604 20170927.141129 1544 780.480042 466.560028
600 20170927.141124 1499 776.160034 465.120026
587 20170927.141109 1147 770.400024 468.000031
579 20170927.141060 1141 766.800049 466.800018
596 20170927.141119 1504 774.720032 466.560028
619 20170927.141146 1543 790.560059 470.880005
614 20170927.141140 1553 789.120056 470.880005
609 20170927.141134 1563 784.800049 469.440033
592 20170927.141115 1500 774.720032 466.560028
638 20170927.141208 1884 798.336060 473.472046
633 20170927.141202 1861 796.608093 475.200043
629 20170927.141157 1135 794.400024 472.800018
643 20170927.141213 1887 801.792053 475.200043
665 20170927.141239 2222 800.409729 468.633667
671 20170927.141246 2220 800.409729 466.560059
648 20170927.141219 1885 803.520081 478.656036
653 20170927.141225 1889 801.792053 476.928040
659 20170927.141232 1881 800.064087 471.744049
696 20170927.141315 2239 796.262512 464.486450
677 20170927.141253 1917 800.064087 463.104034
689 20170927.141307 2243 800.409729 456.192078
683 20170927.141260 2498 798.750854 457.850952
819 20170927.141535 2682 516.575317 489.701477
0.323958 0.934840 8.033821 0 0 0 
Num of good obeservatiosn:15
596 20170927.141119 600 793.000000 518.000000
619 20170927.141146 2002 836.352051 537.408081
614 20170927.141140 1305 826.560059 534.240051
609 20170927.141134 1246 816.480042 528.480042
638 20170927.141208 2040 885.427307 561.945679
624 20170927.141152 1363 848.160034 544.320007
633 20170927.141202 1657 872.640076 556.416077
629 20170927.141157 1652 860.544067 551.232056
665 20170927.141239 2929 1003.290833 609.140869
671 20170927.141246 2747 1051.066528 624.070801
648 20170927.141219 2381 925.655151 579.778625
653 20170927.141225 2062 943.488159 590.976074
659 20170927.141232 2749 970.445007 597.196899
677 20170927.141253 2936 1103.619995 641.389526
683 20170927.141260 2755 1176.477905 656.916626
0.545718 0.779176 8.918296 0 0 0 
Num of good obeservatiosn:29
583 20170927.141105 445 803.000000 307.000000
604 20170927.141129 970 818.400024 290.400024
596 20170927.141119 982 811.200012 296.400024
619 20170927.141146 966 829.200012 282.000000
614 20170927.141140 1418 826.560059 286.559998
609 20170927.141134 964 823.200012 289.200012
592 20170927.141115 425 809.000000 302.000000
624 20170927.141152 1345 830.880005 279.360016
633 20170927.141202 1451 836.640015 273.600006
629 20170927.141157 1820 832.896057 276.480042
665 20170927.141239 1801 841.536072 233.280029
671 20170927.141246 1721 843.264099 222.912018
648 20170927.141219 947 844.800049 260.400024
653 20170927.141225 1708 843.264099 255.744019
659 20170927.141232 2047 839.808105 242.611237
731 20170927.141355 2119 814.924927 132.710419
738 20170927.141403 1816 810.432068 119.232010
746 20170927.141412 2106 794.188904 101.606415
703 20170927.141323 2078 833.587341 182.476822
696 20170927.141315 2091 835.660889 184.550430
677 20170927.141253 948 842.400024 210.000015
689 20170927.141307 1328 838.080017 185.760010
776 20170927.141446 2316 727.833679 64.281609
717 20170927.141339 2135 825.292908 157.593628
710 20170927.141331 1811 829.440063 172.800018
754 20170927.141421 2070 775.526489 87.091209
683 20170927.141260 1719 838.080078 193.536011
762 20170927.141430 2572 761.426025 79.626251
819 20170927.141535 2590 569.825378 47.278088
0.448958 0.642668 9.225246 0 0 0 
Num of good obeservatiosn:20
583 20170927.141105 1506 718.560059 236.160004
604 20170927.141129 2567 724.101196 211.507233
600 20170927.141124 2089 723.686523 215.654434
587 20170927.141109 2074 719.539307 230.169632
596 20170927.141119 2315 721.612915 221.875229
619 20170927.141146 2575 726.589539 201.553955
614 20170927.141140 2052 729.907288 203.212830
609 20170927.141134 2577 726.589539 209.018906
592 20170927.141115 2072 721.612915 226.022430
638 20170927.141208 2362 726.589539 184.135712
624 20170927.141152 2402 729.077881 196.577301
633 20170927.141202 2366 729.077881 186.624023
629 20170927.141157 2400 729.077881 191.600662
665 20170927.141239 2961 713.053162 139.744080
671 20170927.141246 2868 705.886780 132.577713
648 20170927.141219 2786 728.580261 170.201126
